"filename", "language", "JSON", "JavaScript", "Vue", "CSS", "XML", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"f:\YajieProject\mall4v\.eslintrc.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 6, 2, 26
"f:\YajieProject\mall4v\.postcssrc.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 2, 10
"f:\YajieProject\mall4v\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"f:\YajieProject\mall4v\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 0, 47, 89
"f:\YajieProject\mall4v\build\build.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"f:\YajieProject\mall4v\build\check-versions.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"f:\YajieProject\mall4v\build\utils.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 5, 17, 103
"f:\YajieProject\mall4v\build\vue-loader.conf.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"f:\YajieProject\mall4v\build\webpack.base.conf.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 5, 4, 104
"f:\YajieProject\mall4v\build\webpack.dev.conf.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 6, 7, 81
"f:\YajieProject\mall4v\build\webpack.prod.conf.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 23, 8, 149
"f:\YajieProject\mall4v\build\webpack.test.conf.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 5, 33
"f:\YajieProject\mall4v\config\dev.env.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\YajieProject\mall4v\config\index.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 36, 16, 92
